prefix,year,season,label,folder,date,drone_serial,camera_serial,frames,photos,start_utc,edge_px,fine_detail,wide_share,fnumber,focus_mm,focus_finite_share,focus_values,drone,soft
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604301318_020_0/,2026,spring,M3M-red,DJI_202604301318_020_0,20260430,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,358,2026-04-30 19:26:40.936828+00:00,2.9554662337800375,1.5466037392616272,0.0,3.5,,0.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604301348_022_0/,2026,spring,M3M-red,DJI_202604301348_022_0,20260430,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,195,2026-04-30 19:51:50.180194+00:00,3.0425241152420734,1.2404476404190063,0.0,3.5,,0.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605011134_023_7/,2026,spring,M3M-red,DJI_202605011134_023_7,20260501,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,405,2026-05-01 17:40:42.842182+00:00,2.8380398988728963,0.5868221819400787,0.0,2.8,,0.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605011203_024_7/,2026,spring,M3M-red,DJI_202605011203_024_7,20260501,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,279,2026-05-01 18:06:28.766818+00:00,2.8039451833687914,0.5789110064506531,0.0,3.2,,0.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021242_025_15/,2026,spring,M3M-red,DJI_202605021242_025_15,20260502,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,41,2026-05-02 18:46:54.098466+00:00,3.3762999042530994,0.9959291219711304,0.0,3.5,4620.0,1.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021242_026_15/,2026,spring,M3M-red,DJI_202605021242_026_15,20260502,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,386,2026-05-02 18:52:00.911942+00:00,3.041727583319107,1.258090853691101,0.0,3.5,,0.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021311_028_15/,2026,spring,M3M-red,DJI_202605021311_028_15,20260502,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,535,2026-05-02 19:15:11.516470+00:00,3.071750914163058,1.2079524993896484,0.0,3.5,15371.0,1.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021341_030_15/,2026,spring,M3M-red,DJI_202605021341_030_15,20260502,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,457,2026-05-02 19:45:01.423922+00:00,3.095574222750563,1.1893284320831299,0.0,3.5,15371.0,1.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021408_032_15/,2026,spring,M3M-red,DJI_202605021408_032_15,20260502,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,273,2026-05-02 20:13:15.000369+00:00,3.1981297332457377,1.0764047503471375,0.0,3.0,9228.0,1.0,1,red,False
surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606221018_001_19/,2026,summer,M3M-blue,DJI_202606221018_001_19,20260622,1581F5FK324BE00CS1SX,493OL944AB0594,20,692,2026-06-22 16:22:37.151343+00:00,2.9063868252370444,1.1260430812835693,0.0,3.5,,0.0,1,blue,False
