year,season,label,folder,prefix,photos,first,last,date,duplicate_of
2026,summer,M3M-red,DJI_202606261048_002,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606261048_002/,1,20260626110811,20260626110811,20260626,
2026,summer,M3M-red,DJI_202606300842_003_10,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606300842_003_10/,345,20260630084747,20260630090448,20260630,
2026,summer,M3M-red,DJI_202606300842_004,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606300842_004/,1,20260630090451,20260630090451,20260630,
2026,summer,M3M-red,DJI_202606300908_005_10,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606300908_005_10/,335,20260630091253,20260630092949,20260630,
2026,summer,M3M-red,DJI_202606300908_006,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606300908_006/,1,20260630092952,20260630092952,20260630,
2026,summer,M3M-red,DJI_202606300933_007_10,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606300933_007_10/,352,20260630093743,20260630095524,20260630,
2026,summer,M3M-red,DJI_202606300933_008,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606300933_008/,1,20260630095528,20260630095528,20260630,
2026,summer,M3M-red,DJI_202606300959_009_10,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606300959_009_10/,294,20260630100317,20260630102236,20260630,
2026,summer,M3M-red,DJI_202606301025_010_10,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606301025_010_10/,315,20260630102943,20260630104510,20260630,
2026,summer,M3M-red,DJI_202607010956_011_8,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202607010956_011_8/,527,20260701095836,20260701102524,20260701,
2026,summer,M3M-red,DJI_202607010956_012,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202607010956_012/,1,20260701102528,20260701102528,20260701,
2026,summer,M3M-red,DJI_202607011027_013_8,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202607011027_013_8/,468,20260701102859,20260701105246,20260701,
2026,summer,M3M-red,DJI_202607011027_014,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202607011027_014/,1,20260701105251,20260701105251,20260701,
2026,summer,M3M-red,DJI_202607011054_015_8,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202607011054_015_8/,326,20260701105643,20260701111447,20260701,
