kind,prefix,photo,partner_prefix,partner_photo,dist_m,ok,scale,inliers,fine_detail_ratio,edge_px,partner_edge_px,dark_floor,partner_dark_floor,contrast_span_ratio,contrast_cv_ratio,why
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231200_006_5/,391,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231203_005_6/,49,11.845858117056476,True,1.003089303208801,158.0,0.3392734365420928,3.7395775085430256,2.7794732497137224,0.1076923076923077,0.06666666666666667,0.8857808857808858,0.8078683860893173,
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231200_006_5/,422,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606261048_001_10/,186,11.067845236345933,False,,,,,,,,,,no registration
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231200_006_5/,453,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231135_004_6/,593,8.522333247491757,True,0.9650045107944714,91.0,0.2882456682622496,4.041517581739667,2.985137667960191,0.09411764705882353,0.06153846153846154,0.7840166369578134,0.8675400174557105,
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606241101_014_7/,96,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231203_005_6/,309,8.085802857633645,False,,,,,,,,,,no registration
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606241101_014_7/,352,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606241108_006_12/,217,4.8397453058023885,True,1.0346573647429265,353.0,0.15538204985416773,4.617256637168142,2.8127962085308056,0.13186813186813187,0.060240963855421686,0.8562457950213052,0.8992063153425416,
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606241101_014_7/,425,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231203_005_6/,186,11.323516709689173,False,,,,,,,,,,no registration
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606241101_014_7/,498,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606241108_006_12/,293,17.331291735091646,True,1.0054074754507167,69.0,0.2398787271061528,4.172042667347982,2.8093265920826163,0.13186813186813187,0.07317073170731707,0.8105122390836678,0.8684073534078959,
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606301005_007_9/,185,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606300849_002_4/,212,11.52574419394376,True,1.0747952828275338,82.0,0.43041096631043696,3.554073500110693,2.6794709329954065,0.33962264150943394,0.37383177570093457,0.967122359055474,0.9789725964101074,
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606301005_007_9/,241,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606251255_017_14/,510,11.259299301909648,True,1.0887452683146406,63.0,0.44835678512417254,3.907689501048983,3.331556968337073,0.6564885496183206,0.7071428571428572,1.0944541524878137,1.1348669666020494,
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606301005_007_9/,269,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606301025_010_10/,288,15.115995293841605,True,0.983469835891329,246.0,0.2447868296112418,4.461135837635749,2.869382313731299,0.4126984126984127,0.36363636363636365,0.9746835443037974,0.9500038709394574,
