kind,drone_1,drone_2,prefix_1,photo_1,prefix_2,photo_2,year,season,dist_m,hours_apart,irradiance_1,irradiance_2,G_dn_1,G_dn_2,G_camera_1,G_camera_2,G_reflectance_1,G_reflectance_2,R_dn_1,R_dn_2,R_camera_1,R_camera_2,R_reflectance_1,R_reflectance_2,RE_dn_1,RE_dn_2,RE_camera_1,RE_camera_2,RE_reflectance_1,RE_reflectance_2,NIR_dn_1,NIR_dn_2,NIR_camera_1,NIR_camera_2,NIR_reflectance_1,NIR_reflectance_2,ok,why
cross,blue,green,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011235_008_19/,80,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011230_007_15/,230,2025,spring,10.949308000176282,0.014061647777777778,17138.377,17220.283,13248.0,12480.0,220.71969604492188,220.28054809570312,0.006426410749554634,0.0063164858147501945,8672.0,8192.0,199.04025268554688,203.0449981689453,0.007135289721190929,0.006934445817023516,15840.0,15360.0,198.86370849609375,204.03521728515625,0.0115798469632864,0.011550894007086754,14480.0,14128.0,160.44821166992188,161.36062622070312,0.014392388984560966,0.01447945088148117,True,
cross,blue,green,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231301_009_1/,120,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231332_007_0/,244,2026,summer,7.072566506227368,0.5812386958333333,17952.08,15793.327,13264.0,13792.0,160.39349365234375,150.38156127929688,0.00445829750970006,0.004701761528849602,8064.0,8528.0,118.80070495605469,114.68033599853516,0.004056650213897228,0.0042993901297450066,16720.0,16464.0,205.90087890625,184.9901885986328,0.01133871078491211,0.011518110521137714,14064.0,14352.0,183.78692626953125,162.9056854248047,0.01505831815302372,0.015566660091280937,True,
cross,blue,green,surveys/2025_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202507011238_007_19/,353,surveys/2025_front_country/summer/data_collection/M3M-green/DCIM/DJI_202507011240_015_15/,528,2025,summer,8.954161036318425,0.14534117722222223,18210.59,18048.633,13072.0,13040.0,263.0188903808594,271.70062255859375,0.007207090966403484,0.0074333734810352325,8992.0,8544.0,267.2694396972656,270.111572265625,0.00908818282186985,0.00880697276443243,15600.0,14480.0,213.57244873046875,204.51681518554688,0.011887202039361,0.011210935190320015,13936.0,13984.0,165.2184600830078,166.81797790527344,0.013663172721862793,0.014045345596969128,True,
cross,blue,green,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231200_006_5/,364,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231203_005_6/,82,2026,summer,5.882897111026518,0.1422053788888889,16970.082,17442.799,10448.0,9312.0,73.06819152832031,69.94751739501953,0.002148530213162303,0.001980139408260584,6576.0,5360.0,43.43241882324219,40.21445846557617,0.0015747619327157736,0.0013524722307920456,14464.0,12416.0,110.70075225830078,108.45996856689453,0.006480866577476263,0.00611845962703228,12416.0,11360.0,117.15057373046875,111.93637084960938,0.010346909053623676,0.009876931086182594,True,
cross,blue,green,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231301_009_1/,110,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231332_007_0/,254,2026,summer,9.796004125797468,0.5927713869444445,18034.107,16292.444,13616.0,13984.0,179.69863891601562,166.58892822265625,0.0049721840769052505,0.005048931576311588,9168.0,9600.0,163.12185668945312,158.80201721191406,0.005541305989027023,0.0057585109025239944,15584.0,15168.0,188.221435546875,170.84054565429688,0.01032254472374916,0.010284161195158958,13584.0,13264.0,165.83218383789062,146.99874877929688,0.013528849929571152,0.013595741242170334,True,
cross,blue,green,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011235_008_19/,297,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011230_007_15/,527,2025,spring,16.95434434409359,0.03779236222222222,17374.971,17337.143,13776.0,12416.0,234.6808624267578,222.4609375,0.0067398566752672195,0.006336010992527008,9200.0,8576.0,216.947509765625,215.77975463867188,0.007674733176827431,0.007366027683019638,16000.0,14720.0,195.45022583007812,188.3251953125,0.011260338127613068,0.01044530887156725,14144.0,13504.0,149.65289306640625,147.0430908203125,0.013287398032844067,0.012828394770622253,True,
cross,blue,green,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231301_009_1/,71,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231332_007_0/,185,2026,summer,7.673235400725686,0.5774669591666667,17410.311,17082.242,12752.0,12864.0,162.95689392089844,163.404296875,0.004670498892664909,0.004723438061773777,8944.0,9104.0,159.74795532226562,166.8311767578125,0.005643579177558422,0.005745017901062965,16592.0,15984.0,198.21932983398438,196.914794921875,0.011220755986869335,0.011247338727116585,14304.0,14496.0,170.62384033203125,170.08303833007812,0.014328052289783955,0.01495242677628994,True,
cross,blue,green,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606241127_015_7/,359,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231203_005_6/,458,2026,summer,14.636092698087266,23.3336029975,16546.148,17407.322,16720.0,16880.0,142.07586669921875,176.29483032226562,0.004284700378775597,0.005000889301300049,10960.0,12152.0,97.34468078613281,131.5528564453125,0.0036083939485251904,0.004452915862202644,19584.0,17792.0,176.0643310546875,201.7599334716797,0.010549814440310001,0.01135698240250349,15568.0,15488.0,161.55685424804688,179.2771453857422,0.014545239508152008,0.01585814543068409,True,
cross,blue,green,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604301113_020_5/,349,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291051_018_10/,287,2026,spring,7.93258690012995,24.39179817777778,15263.083,14072.972,13280.0,10656.0,140.45997619628906,74.95699310302734,0.004592058248817921,0.002630061935633421,8624.0,6800.0,108.99352264404297,57.947547912597656,0.004332359880208969,0.0023911376483738422,18272.0,14016.0,192.78118896484375,93.42545318603516,0.01224618311971426,0.006383753381669521,15952.0,12720.0,166.41238403320312,79.88177490234375,0.01620703563094139,0.008587726391851902,True,
cross,blue,green,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604301113_020_5/,347,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291051_018_10/,285,2026,spring,7.974150525873453,24.391809809444446,15228.21,13585.244,13280.0,12288.0,140.78713989257812,107.87283325195312,0.004613294266164303,0.003920886665582657,8592.0,8000.0,111.68904113769531,86.89895629882812,0.0044451383873820305,0.0037232297472655773,16912.0,15328.0,176.58047485351562,128.25820922851562,0.011234425008296967,0.009099849499762058,14704.0,14064.0,150.08233642578125,109.46648406982422,0.014630256220698357,0.01219852827489376,True,
